Jx,Jy,Jz,hx,hl,time_interval,sample_num,evol_num,train_set_type,loss,gate_fidelity,length
1.0,1.0,1.0,0.5,2.0,0.02,1,1,product,multi_mags,0.9117276,10
1.0,1.0,1.0,0.5,2.0,0.02,1,2,product,multi_mags,0.9361259,10
1.0,1.0,1.0,0.5,2.0,0.02,1,3,product,multi_mags,0.9880176,10
1.0,1.0,1.0,0.5,2.0,0.02,1,4,product,multi_mags,0.9254845,10
1.0,1.0,1.0,0.5,2.0,0.02,1,5,product,multi_mags,0.9540864,10
1.0,1.0,1.0,0.5,2.0,0.02,1,6,product,multi_mags,0.9673091,10
1.0,1.0,1.0,0.5,2.0,0.02,1,7,product,multi_mags,0.9764005,10
1.0,1.0,1.0,0.5,2.0,0.02,1,8,product,multi_mags,0.9785809,10
1.0,1.0,1.0,0.5,2.0,0.02,1,9,product,multi_mags,0.9781764,10
1.0,1.0,1.0,0.5,2.0,0.02,1,10,product,multi_mags,0.988582,10
1.0,1.0,1.0,0.5,2.0,0.02,1,20,product,multi_mags,0.9807199,10
1.0,1.0,1.0,0.5,2.0,0.02,1,30,product,multi_mags,0.9458814,10
1.0,1.0,1.0,0.5,2.0,0.02,1,40,product,multi_mags,0.9821611,10
1.0,1.0,1.0,0.5,2.0,0.02,1,50,product,multi_mags,0.9730637,10
1.0,1.0,1.0,0.5,2.0,0.02,1,60,product,multi_mags,0.9877177,10
1.0,1.0,1.0,0.5,2.0,0.02,1,70,product,multi_mags,0.9794473,10
1.0,1.0,1.0,0.5,2.0,0.02,1,80,product,multi_mags,0.9644921,10
1.0,1.0,1.0,0.5,2.0,0.02,1,90,product,multi_mags,0.9738467,10
1.0,1.0,1.0,0.5,2.0,0.02,1,100,product,multi_mags,0.9836146,10
1.0,1.0,1.0,0.5,2.0,0.04,1,1,product,multi_mags,0.8931364,10
1.0,1.0,1.0,0.5,2.0,0.04,1,2,product,multi_mags,0.9640587,10
1.0,1.0,1.0,0.5,2.0,0.04,1,3,product,multi_mags,0.9684786,10
1.0,1.0,1.0,0.5,2.0,0.04,1,4,product,multi_mags,0.9444916,10
1.0,1.0,1.0,0.5,2.0,0.04,1,5,product,multi_mags,0.953245,10
1.0,1.0,1.0,0.5,2.0,0.04,1,6,product,multi_mags,0.9829081,10
1.0,1.0,1.0,0.5,2.0,0.04,1,7,product,multi_mags,0.9584023,10
1.0,1.0,1.0,0.5,2.0,0.04,1,8,product,multi_mags,0.9857297,10
